[rosmaster.master][INFO] 2019-04-02 21:49:47,798: -PUB [/camera/depth/points] /play_1554241773955301575 http://9fe54ba3caf9:33217/
[rosmaster.master][INFO] 2019-04-02 21:49:47,798: -SERVICE [/play_1554241773955301575/get_loggers] /play_1554241773955301575 rosrpc://9fe54ba3caf9:55305
[rosmaster.master][INFO] 2019-04-02 21:49:47,799: -SERVICE [/play_1554241773955301575/set_logger_level] /play_1554241773955301575 rosrpc://9fe54ba3caf9:55305
[rosmaster.master][INFO] 2019-04-02 21:49:56,073: -SUB [/camera/depth/image_raw] /depthtest http://9fe54ba3caf9:33063/
[rosmaster.master][INFO] 2019-04-02 21:49:56,074: -PUB [/rosout] /depthtest http://9fe54ba3caf9:33063/
[rosmaster.master][INFO] 2019-04-02 21:49:56,074: -SERVICE [/depthtest/get_loggers] /depthtest rosrpc://9fe54ba3caf9:46317
[rosmaster.master][INFO] 2019-04-02 21:49:56,074: -SERVICE [/depthtest/set_logger_level] /depthtest rosrpc://9fe54ba3caf9:46317
[rosmaster.master][INFO] 2019-04-02 21:49:56,106: publisherUpdate[/rosout] -> http://9fe54ba3caf9:34401/
[rosmaster.master][INFO] 2019-04-02 21:50:40,341: +PUB [/rosout] /depthtest http://9fe54ba3caf9:45453/
[rosmaster.master][INFO] 2019-04-02 21:50:40,344: +SERVICE [/depthtest/get_loggers] /depthtest http://9fe54ba3caf9:45453/
[rosmaster.master][INFO] 2019-04-02 21:50:40,345: +SERVICE [/depthtest/set_logger_level] /depthtest http://9fe54ba3caf9:45453/
[rosmaster.master][INFO] 2019-04-02 21:50:40,348: +SUB [/camera/depth/image_raw] /depthtest http://9fe54ba3caf9:45453/
[rosmaster.master][INFO] 2019-04-02 21:50:40,369: publisherUpdate[/rosout] -> http://9fe54ba3caf9:34401/
[rosmaster.master][INFO] 2019-04-02 21:50:53,150: +PUB [/rosout] /play_1554241853147496444 http://9fe54ba3caf9:45401/
[rosmaster.master][INFO] 2019-04-02 21:50:53,151: +SERVICE [/play_1554241853147496444/get_loggers] /play_1554241853147496444 http://9fe54ba3caf9:45401/
